company_index,Date,Revenue,Cost_of_Sales,Gross_profit,Operating_profit,Net_Profit,Issue_of_shares,Share_repurchase,Non_current_assets,Current_assets,Non_current_liabilities,Current_liabilities,net_cash_op_act
1,2009/07/30,681.7,521.2,160.5,317.1,230.4,1.5,0.6,578,396.3,324.1,336.8,692.8
1,2009/10/31,880.6,616.8,263.8,-973.8,-824.5,221.5,0,604.5,270.3,305.4,324.1,854.5
1,2010/02/17,951.4,621.9,329.5,431.7,317.9,3.9,3.9,732.8,237.2,220.7,454.3,959.6
1,2010/05/06,845.3,606,239.3,141.3,115,0.3,0,741.4,188,221,396.3,816.6
1,2010/08/11,991.8,609.9,381.9,-8.9,-136,2.6,0,719.6,203.3,306.8,328,1003
1,2010/11/10,1066.8,665.9,400.9,138.2,44.3,559.6,0,753,248.5,412.7,197.5,1056.6
1,2011/02/16,1109.5,701.6,407.9,197.8,40.4,3.1,3.1,779.3,172.3,444.2,97.4,1095.5
1,2011/05/10,1040.2,646.9,393.3,253.7,165.8,0.5,0,778.4,182,442.1,90.2,1012.3
1,2011/08/03,1154.7,641.2,513.5,352,319.5,0.2,0.2,799.1,209.3,443.5,86.6,1112.7
1,2011/11/08,1342.8,698,644.8,465.5,330.4,0.2,0,774.1,235.2,434.5,97.1,1333.6
1,2012/02/15,1503.4,888.3,615.1,543.4,312.4,0.6,0,822,256.1,469.8,93.8,1478.9
1,2012/05/09,1794,989,805,584,563,0,0,8542,2762,4580,980,1758
1,2012/08/04,1684,986,698,456,287,0,220,8674,2617,4693,963,1691
1,2012/11/07,1664,1056,608,305,168,0,0,9887,2961,5411,1696,1603
1,2013/05/11,1518,1029,489,264,239,10,0,10207,2376,5289,1725,1492
1,2013/08/06,1301,1012,289,-3019,-2165,0,0,7403,1967,4004,2254,1343
1,2013/11/05,1415,1064,351,80,1,0,0,7664,2311,5414,1240,1396
1,2014/02/18,1474,1042,432,235,-305,0,0,7404,2117,5331,1179,1479
1,2014/05/13,1359,1012,347,229,39,0,0,7584,1936,5327,1117,1288
1,2014/08/08,1358,1064,294,175,-80,0,0,7621,1980,5450,1050,1386
1,2014/10/31,1337,1052,285,149,41,0,0,7467,1843,5295,1005,1358
1,2015/02/20,1324,1061,263,-35,-58,0,0,7485,1649,5279,984,1318
1,2015/05/08,1122,870,252,142,-1,0,0,6933,1441,5176,787,1091
1,2015/08/14,1059,830,229,110,-17,0,0,6417,1411,5284,673,1078
1,2015/11/06,987,830,157,-95,-76,0,0,5709,1717,4033,715,986
1,2016/02/19,1061,812,249,120,65,0,0,5934,1350,4110,707,1060
1,2016/08/13,2041,1501,540,287,52,0,0,6027,1406,3581,1182,2003
1,2017/02/21,2213,1763,450,209,11,0,0,5987,1166,3639,760,2228
2,2009/09/09,8450.3,4564.1,3886.2,2183,1340.4,21.4,5.4,6920.9,5580.1,4038.4,4199.6,2668.3
2,2010/03/04,4576,2441.1,2134.9,1314.2,840.8,4587.6,0,11563.7,6552.8,3820.7,4583.2,1482
2,2010/09/16,10146.6,5542.3,4604.3,2614.9,1969.3,4592.8,13.6,12178.3,7622.6,3084.8,5829.9,3269.5
2,2011/03/04,5989.8,3380.9,2608.9,1613.9,672.5,7.4,20.1,11316.6,9326.4,3261.1,6119.7,1808.4
2,2011/09/14,12383.2,6769.7,5613.5,3149,2655.3,10,26.2,17423.1,8959.8,5302.2,8207.8,3845
2,2012/03/08,7504.9,3929.1,3575.8,2000.5,2909.5,200,18.6,19644.1,10100.7,7513.8,6460,2308.2
2,2012/09/13,15255.8,7979.5,7276.3,3940.6,4295.4,401.9,19.3,21286.6,10431.9,7000.1,7320.3,4746
2,2013/03/08,8997.1,4630,4367.1,2485.3,2300.4,16.3,21.1,25442.2,11720,6980.3,11205.9,2855.9
2,2013/09/12,19308,10077.3,9230.7,5043.3,6078.2,936,21.1,29644.7,15777,9757.5,12865.3,5960.1
2,2014/03/07,11976.3,6398.7,5577.6,2880.1,3101.4,1.6,22.3,49741.1,30813.2,38349.2,17037.1,3278.3
2,2014/09/11,29515.1,15793.2,13721.9,7424.8,6915.4,2.7,22.3,51334.6,31212.8,37629.3,16042,7911.2
2,2015/03/06,18033.3,9562.3,8471,4318.4,2751.6,0.2,21.7,54433.5,31473.3,37789.5,17374.5,4916.9
2,2015/09/10,36126.6,18872.4,17254.2,8449.9,5201.4,4.9,22.7,55680.2,29847.3,32477.3,21778.5,9506.8
2,2016/03/04,17512.3,8682.4,8829.9,6088.4,10044.2,0,35.6,69497.7,35819.4,21937.2,40181.1,4997.2
2,2016/09/15,35600,17700,17900,9000,9400,0,100,67100,37100,40700,21100,9800
3,2009/09/01,10674,6048,4626,3707,2868,90,25,18566,6933,4042,4706,6678
3,2010/02/23,4386,3088,1298,744,452,90,25,19001,6265,5676,2845,895
3,2010/08/31,11423,7480,3943,2920,1812,91,0,12347,7943,6043,3661,3430
3,2011/03/01,6924,3940,2984,2534,1558,91,0,21649,7864,6507,3168,2049
3,2011/09/01,15357,8952,6405,5322,3311,74,0,23291,9018,6457,3737,5898
3,2012/02/28,9093,5439,3654,3084,1983,74,0,25024,9266,6329,4173,2561
3,2012/09/04,18142,11463,6679,5216,3438,296,0,25662,9654,6885,4026,5969
3,2013/02/27,9145,6317,2828,2061,1406,296,0,26946,10163,8327,3881,1665
3,2013/09/03,20519,13115,7404,5537,1634,200,0,25387,12543,8235,4423,6312
3,2014/03/08,4983,3582,1401,780,1714,200,0,29233,5492,5585,2876,861
3,2014/09/05,10863,7531,3332,1671,3289,229,75,30077,6381,4889,3370,2073
3,2015/03/17,5210,4011,1199,609,801,229,75,30522,5913,4936,3885,1485
3,2015/09/05,10227,7854,2373,1040,104,223,0,29616,5655,5137,3241,2508
3,2016/03/12,4708,4124,584,373,-996,380,0,28497,5024,5381,3601,473
3,2016/09/09,9600,8147,1453,219,-565,191,0,30591,4533,6850,3696,1225
4,2009/02/08,75949,54154,21795,15956,10592,77,0,715868,57890,593422,127370,3234
4,2010/03/19,65247,43393,21854,12887,6840,2625,1172,663200,54540,567347,93903,5011
4,2011/03/10,54241,30901,23340,17335,8118,31,283,656256,54540,572955,81351,2202
4,2012/03/28,51221,26792,24429,19348,9791,166,281,643894,72576,589580,64741,8305
4,2013/02/12,50766,26655,24111,15821,9812,0,211,718698,89241,643571,91574,5577
4,2014/03/21,60232,27881,32351,25364,11981,130,211,847414,112185,751466,122932,18035
4,2014/07/01,38850,14653,24197,9259,6166,0,76,869625,108178,778086,113435,6753
4,2015/03/04,65646,30045,35601,27524,13216,0,46,855175,136239,795143,105326,18233
4,2016/03/01,73603,35196,38407,20155,14331,0,9,997735,146869,888039,157918,16357
4,2017/02/20,85114,43111,42003,20723,14708,0,9,936702,164321,898122,100621,6962
5,2009/08/13,50211,38640,11571,12160,5877,29,0,56284,22486,26209,11850,18863
5,2010/02/11,24576,15769,8807,9120,6135,4,180,59954,21599,26746,10206,5716
5,2010/08/26,52798,33295,19503,20031,12722,12,0,63718,25134,26481,13042,17920
5,2011/02/16,34166,19930,14236,14515,10524,18,582,67694,30578,27402,13877,12193
5,2011/08/25,71739,40454,31285,31816,23648,32,10329,77611,25280,25403,19733,30080
5,2012/02/09,37480,22150,15330,15689,9941,18,83,104613,19354,36609,19354,12280
5,2012/08/23,72226,49380,22846,23752,15124,21,83,108822,20451,40154,22034,24384
5,2013/02/21,32204,27309,4895,7005,4238,8,0,104613,19354,36609,22741,6402
5,2013/08/21,65968,50873,15095,19225,11039,21,445,118323,19786,45702,20372,18252
5,2014/02/19,33948,22674,11274,12933,8107,9,290,126419,24598,48643,20093,11859
5,2014/08/20,67206,46513,20693,23412,13877,14,0,129117,22296,47967,18064,25364
5,2015/02/25,29900,21862,8038,8817,4265,3,338,127180,18901,46481,13350,10423
5,2015/08/26,44636,37010,7626,8670,1910,9,355,108211,16369,41182,12853,19296
5,2016/02/24,15712,21998,-6286,-7030,-5669,0,69,100286,18383,45601,11638,5260
5,2016/08/17,30912,35487,-4575,-6207,-6385,0,106,101239,17714,46542,12340,10625
5,2017/02/22,18796,13387,5409,6057,3204,0,68,98034,21501,45111,11999,7697
6,2010/07/28,7298,1964,5334,2271,1525,3,62,18718,7959,10414,7559,1560
6,2011/02/25,14883,3695,11188,4318,2879,3,66,12458,3608,8916,1334,4490
6,2011/07/27,7438,1716,5722,2691,1870,34,439,19476,8333,10498,8269,1514
6,2012/02/24,15399,3507,11892,4721,3095,28,878,18624,8495,10798,7847,4566
6,2012/06/26,7452,1770,5682,2470,1929,24,797,18125,8809,11771,7636,1182
6,2013/03/01,15190,3445,11745,5412,3841,20,1379,18141,9186,11406,8142,4427
6,2013/07/01,7572,1678,5894,2807,2040,27,920,18568,9299,12257,8344,1319
6,2014/02/27,15260,3348,11912,5526,3904,22,1583,17363,9518,11510,8436,4436
6,2014/06/30,6798,1498,5300,2458,1747,16,849,17049,8629,10748,9179,1170
6,2015/02/27,13971,3088,10883,4546,3115,14,852,17035,9132,11584,8769,3716
6,2015/06/30,6398,1489,4909,2347,2645,25,59,20504,8171,20504,8171,1355
6,2016/02/26,13104,3217,9887,4557,4290,22,46,21701,9814,21701,9794,4720
6,2016/06/29,6669,1630,5039,2213,2671,13,65,25550,10689,18200,11787,1054
6,2017/02/24,14751,3777,10974,4655,4648,11,64,27414,12359,19511,11856,4610
7,2011/08/04,58.4,21.7,36.7,83,68.5,96.6,0,1546.1,249.9,685.1,84.4,2.3
7,2012/03/01,108.4,39.4,69,197.1,153.7,96.6,0,1673.1,117.1,576.3,110.8,0
