Date,rates
2009/10/01,6.95
2009/11/01,7.01
2009/12/01,7.07
2010/01/01,7.11
2010/02/01,7.08
2010/03/01,6.95
2010/04/01,6.59
2010/05/01,6.58
2010/06/01,6.54
2010/07/01,6.48
2010/08/01,6.42
2010/09/01,6.08
2010/10/01,5.97
2010/11/01,5.65
2010/12/01,5.59
2011/01/01,5.54
2011/02/01,5.53
2011/03/01,5.5
2011/04/01,5.46
2011/05/01,5.45
2011/06/01,5.46
2011/07/01,5.49
2011/08/01,5.49
2011/09/01,5.49
2011/10/01,5.49
2011/11/01,5.49
2011/12/01,5.46
2012/01/01,5.47
2012/02/01,5.5
2012/03/01,5.54
2012/04/01,5.56
2012/05/01,5.56
2012/06/01,5.58
2012/07/01,5.37
2012/08/01,5.05
2012/09/01,4.94
2012/10/01,4.94
2012/11/01,4.93
2012/12/01,4.99
2013/01/01,5.06
2013/02/01,5.04
2013/03/01,5.05
2013/04/01,5.12
2013/05/01,5.03
2013/06/01,5.12
2013/07/01,5.12
2013/08/01,5.09
2013/09/01,5.06
2013/10/01,5.04
2013/11/01,5.07
2013/12/01,5.14
2014/01/01,5.22
2014/02/01,5.56
2014/03/01,5.73
2014/04/01,5.74
2014/05/01,5.74
2014/06/01,5.79
2014/07/01,6.03
2014/08/01,6.01
2014/09/01,6
2014/10/01,5.9
2014/11/01,5.84
2014/12/01,6.04
2015/01/01,6
2015/02/01,5.88
2015/03/01,5.8
2015/04/01,5.8
2015/05/01,5.73
2015/06/01,5.76
2015/07/01,6.03
2015/08/01,6.16
2015/09/01,6.24
2015/10/01,6.16
2015/11/01,6.33
2015/12/01,6.74
2016/01/01,6.86
2016/02/01,6.93
2016/03/01,7.04
2016/04/01,7.18
2016/05/01,7.16
2016/06/01,7.2
2016/07/01,7.35
2016/08/01,7.3
2016/09/01,7.29
2016/10/01,7.35
2016/11/01,7.48
2016/12/01,7.61
2017/01/01,7.46
