Date,Close,Open,High,Low,Change
2009/10/14,23656,23215,23678,23215,0.0193
2009/10/15,23758,23659,23792,23422,0.0043
2009/10/16,23663,23770,23894,23508,-0.004
2009/10/19,23989,23659,24033,23641,0.0138
2009/10/20,23978,23993,24166,23873,-0.0005
2009/10/21,24142,23987,24211,23833,0.0068
2009/10/22,24152,23935,24269,23855,0.0004
2009/10/23,24279,24380,24476,24206,0.0053
2009/10/26,24393,24314,24428,24142,0.0047
2009/10/27,23942,24018,24091,23794,-0.0185
2009/10/28,23640,23928,23969,23452,-0.0126
2009/10/29,24102,23240,24103,23240,0.0195
2009/10/30,23710,24193,24214,23679,-0.0163
2009/11/02,23705,23525,23738,23444,-0.0002
2009/11/03,23693,23640,23726,23612,-0.0005
2009/11/04,23561,23494,23622,23373,-0.0056
2009/11/05,23441,23333,23482,23086,-0.0051
2009/11/06,23395,23451,23670,23193,-0.002
2009/11/09,23990,23395,23990,23395,0.0254
2009/11/10,23900,23925,24024,23806,-0.0038
2009/11/11,24158,23936,24210,23905,0.0108
2009/11/12,24188,24036,24207,23872,0.0012
2009/11/13,24241,24008,24305,23987,0.0022
2009/11/16,24699,24249,24699,24248,0.0189
2009/11/17,24678,24599,24805,24558,-0.0009
2009/11/18,24715,24683,24916,24630,0.0015
2009/11/19,24523,24708,24744,24358,-0.0078
2009/11/20,24486,24510,24572,24238,-0.0015
2009/11/23,24947,24570,25010,24555,0.0188
2009/11/24,24904,24946,24946,24698,-0.0017
2009/11/25,24923,25008,25115,24901,0.0008
2009/11/26,24478,24880,24917,24458,-0.0179
2009/11/27,24434,24478,24478,23938,-0.0018
2009/11/30,24409,24630,24773,24313,-0.001
2009/12/01,24705,24540,24808,24503,0.0121
2009/12/02,25047,24823,25063,24808,0.0138
2009/12/03,24642,25090,25113,24642,-0.0162
2009/12/04,24875,24610,25023,24563,0.0095
2009/12/07,24698,24578,24735,24348,-0.0071
2009/12/08,24463,24686,24759,24325,-0.0095
2009/12/09,24262,24465,24465,24185,-0.0082
2009/12/10,24396,24225,24440,24109,0.0055
2009/12/11,24633,24526,24659,24473,0.0097
2009/12/14,24528,24780,24852,24528,-0.0043
2009/12/15,24895,24538,25028,24538,0.015
2009/12/16,24895,24895,24895,24895,0
2009/12/17,24839,24921,25055,24749,-0.0022
2009/12/18,25178,24743,25218,24740,0.0136
2009/12/21,25315,25163,25355,25062,0.0054
2009/12/22,25323,25316,25482,25235,0.0003
2009/12/23,25149,25320,25488,25127,-0.0069
2009/12/24,25387,25158,25405,25157,0.0095
2009/12/25,25375,25375,25375,25375,-0.0005
2009/12/28,25469,25430,25510,25329,0.0037
2009/12/29,25231,25466,25569,25203,-0.0093
2009/12/30,25073,25231,25293,24883,-0.0063
2009/12/31,25138,25103,25235,25074,0.0026
2010/01/01,25138,25138,25138,25138,0
2010/01/04,25448,25138,25533,25074,0.0123
2010/01/05,25611,25496,25683,25445,0.0064
2010/01/06,25705,25502,25708,25489,0.0037
2010/01/07,25623,25610,25648,25385,-0.0032
2010/01/08,25813,25625,25857,25625,0.0074
2010/01/11,25798,25810,26112,25768,-0.0006
2010/01/12,25560,25789,25860,25507,-0.0092
2010/01/13,25518,25533,25755,25463,-0.0016
2010/01/14,25743,25785,25874,25549,0.0088
2010/01/15,25305,25698,25778,25283,-0.017
2010/01/18,25654,25373,25672,25364,0.0138
2010/01/19,25579,25558,25650,25458,-0.0029
2010/01/20,25315,25594,25618,25275,-0.0103
2010/01/21,24783,25026,25169,24783,-0.021
2010/01/22,24508,24630,24764,24411,-0.0111
2010/01/25,24532,24509,24813,24430,0.001
2010/01/26,24208,24535,24535,24072,-0.0132
2010/01/27,24176,24205,24407,24013,-0.0013
2010/01/28,24047,24465,24533,24009,-0.0053
2010/01/29,24148,23847,24233,23847,0.0042
2010/02/01,24159,23840,24159,23793,0.0005
2010/02/02,24286,24216,24323,24065,0.0053
2010/02/03,24249,24355,24528,24206,-0.0015
2010/02/04,23635,24158,24218,23558,-0.0253
2010/02/05,23128,23203,23398,23058,-0.0215
2010/02/08,23438,23285,23613,23187,0.0134
2010/02/09,23869,23423,23869,23415,0.0184
2010/02/10,23420,23786,23983,23415,-0.0188
2010/02/11,23756,23729,23998,23590,0.0143
2010/02/12,23705,23944,24045,23478,-0.0021
2010/02/15,24018,23637,24057,23610,0.0132
2010/02/16,24357,24080,24357,24066,0.0141
