company_index,Date,Close,Open,High,Low,Vol,Change
1,2009/10/14,33403,33817,34000,33213,979600,-0.0044
1,2009/10/15,32499,33095,33494,32101,1050000,-0.0271
1,2009/10/16,33200,32500,33490,32350,1160000,0.0216
1,2009/10/19,32950,33000,33780,32610,734160,-0.0075
1,2009/10/20,32563,33450,33681,32300,1020000,-0.0117
1,2009/10/21,32505,32730,33000,31674,1410000,-0.0018
1,2009/10/22,32650,32291,33200,32000,774120,0.0045
1,2009/10/23,32500,32600,32800,32160,922180,-0.0046
1,2009/10/26,32594,32450,32697,32020,593250,0.0029
1,2009/10/27,31499,31500,31685,30800,932250,-0.0336
1,2009/10/28,30689,31400,31500,30438,818610,-0.0257
1,2009/10/29,30099,30382,30382,29292,4480000,-0.0192
1,2009/10/30,28990,30400,30450,28630,3040000,-0.0368
1,2009/11/02,30010,29220,30247,29000,2190000,0.0352
1,2009/11/03,30290,30300,30310,28999,1910000,0.0093
1,2009/11/04,31526,32001,32540,31283,3470000,0.0408
1,2009/11/05,30131,30700,30700,29900,1170000,-0.0442
1,2009/11/06,31201,30400,31395,30202,2010000,0.0355
1,2009/11/09,31290,31750,32000,31118,862890,0.0029
1,2009/11/10,31505,31250,31590,30871,1150000,0.0069
1,2009/11/11,32216,31820,32250,31755,905910,0.0226
1,2009/11/12,32795,32400,32795,31276,1940000,0.018
1,2009/11/13,32700,32305,32750,32151,625140,-0.0029
1,2009/11/16,33360,33400,33600,33004,1640000,0.0202
1,2009/11/17,33410,33410,33520,32807,1200000,0.0015
1,2009/11/18,33600,33550,33889,33310,1790000,0.0057
1,2009/11/19,32499,33500,33500,32300,1790000,-0.0328
1,2009/11/20,32900,33500,33500,32540,1280000,0.0123
1,2009/11/23,34075,33510,34139,33252,942110,0.0357
1,2009/11/24,33000,33800,33847,32750,808680,-0.0315
1,2009/11/25,33300,33640,33950,33200,1290000,0.0091
1,2009/11/26,33300,33900,33900,33050,1010000,0
1,2009/11/27,33050,32511,33050,32225,1050000,-0.0075
1,2009/11/30,32401,33200,33699,32401,959010,-0.0196
1,2009/12/01,33995,32621,33995,32621,1140000,0.0492
1,2009/12/02,34500,34500,34528,34051,1180000,0.0149
1,2009/12/03,33800,34489,34679,33800,1680000,-0.0203
1,2009/12/04,32800,33499,33789,32791,736000,-0.0296
1,2009/12/07,31600,32299,32299,31301,1650000,-0.0366
1,2009/12/08,31550,31930,32074,31000,1200000,-0.0016
