South Africa: Debt evolution
Date	Debt(M)	Debt (%GDP)	Debt Per Capita
2017	154,899 50.10%  NaN
2016	152,509	51.70%	2,742$
2015	156,650	49.33%	2,861$
2014	164,828	46.96%	3,057$
2013	161,760	44.10%	3,046$
2012	162,398	41.00%	3,104$
2011	159,429	38.23%	3,091$
2010	130,020	34.68%	2,557$
2009	89,528	30.08%	1,785$
2008	76,049	26.51%	1,537$
2007	80,912	27.06%	1,657$
2006	85,224	31.36%	1,768$
2005	85,463	33.21%	1,795$
2004	78,773	34.39%	1,675$
2003	62,109	35.43%	1,337$
2002	41,197	35.55%	897$
2001	51,560	42.40%	1,131$
2000	57,571	42.21%	1,282$
